226,2240,B,NaN,A,Y
227,2240,C,NaN,B,Y
228,2240,D,NaN,C,Y
229,2240,E,NaN,D,Y
230,2240,F,NaN,F,Y
232,2241,A+,90.00 - 100.00,A+,Y
233,2241,A,80.00 - 89.00,A+,Y
234,2241,B+,75.00 - 79.00,A,Y
235,2241,B,70.00 - 74.00,A,Y
236,2241,C+,65.00 - 69.00,AB,Y
237,2241,C,60.00 - 64.00,B,Y
238,2241,D+,55.00 - 59.00,BC,Y
239,2241,D,50.00 - 54.00,C,Y
240,2241,E+,45.00 - 49.00,CD,Y
241,2241,E,40.00 - 44.00,D,Y
242,2241,UG,0.00 - 39.00,F,Y
243,2241,S,NaN,P,Y
245,2242,HD,5.00,A,Y
246,2242,A,5.00,A,Y
247,2242,B,4.00 - 4.99,B,Y
248,2242,C,3.00 - 3.99,C,Y
249,2242,D,2.00 - 2.99,D,Y
250,2242,E,0.00 - 1.99,F,Y
252,2243,NaN,6.00,A+,Y
253,2243,NaN,5.00 - 5.99,A,Y
254,2243,NaN,4.00 - 4.99,B,Y
255,2243,NaN,3.00 - 3.99,C,Y
256,2243,NaN,2.00 - 2.99,D,Y
257,2243,NaN,1.00 - 1.99,F,Y
259,2254,HD,65.00 - 100.00,A+,Y
260,2254,D,75.00 - 84.00,A,Y
261,2254,CR,65.00 - 74.00,B,Y
262,2254,P,50.00 - 64.00,C,Y
263,2254,F,0.00 - 49.00,F,Y
265,2244,HD,80.00 - 100.00,A+,Y
266,2244,D,70.00 - 79.00,A,Y
267,2244,CR,60.00 - 69.00,B,Y
268,2244,P,50.00 - 59.00,C,Y
269,2244,N,0.00 - 49.00,F,Y
271,2245,10,100.00,A+,Y
272,2245,9,90.00 - 99.00,A+,Y
273,2245,8,80.00 - 89.00,A+,Y
274,2245,7,70.00 - 79.00,A,Y
275,2245,6,60.00 - 69.00,B,Y
276,2245,5,50.00 - 59.00,C,Y
277,2245,F,0.00 - 49.00,F,Y
279,2246,HD,NaN,A+,Y
280,2246,DN,NaN,A,Y
281,2246,CR,NaN,B,Y
282,2246,P,NaN,C,Y
283,2246,F,NaN,F,Y
285,2247,HD,80.00 - 100.00,A+,Y
286,2247,D,70.00 - 79.00,A,Y
287,2247,C,60.00 - 69.00,B,Y
288,2247,P,50.00 - 59.00,C,Y
289,2247,N,0.00 - 49.00,F,Y
291,2248,HD,7.00,A+,Y
292,2248,D,6.00 - 6.99,A,Y
293,2248,Cr,5.00 - 5.99,B,Y
294,2248,P,4.00 - 4.99,C,Y
295,2248,PC,3.00 - 3.99,D,Y
296,2248,N,1.00 - 3.99,F,Y
298,2249,HD,80.00 - 100.00,A+,Y
299,2249,DI,70.00 - 79.00,A,Y
300,2249,CR,60.00 - 69.00,B,Y
301,2249,PA,50.00 - 59.00,C,Y
302,2249,NN,0.00 - 49.00,F,Y
304,2250,NaN,80.00 - 100.00,A+,Y
